"date","state","value"
2015-01-01,"AR",5
2016-01-01,"AR",4
2017-01-01,"AR",3.7
2018-01-01,"AR",3.7
2019-01-01,"AR",3.5
2020-01-01,"AR",6.2
2021-01-01,"AR",4
2022-01-01,"AR",3.2
2023-01-01,"AR",3.1
2024-01-01,"AR",3.5
2025-01-01,"AR",NA
1976-01-01,"CA",9.2
1977-01-01,"CA",8.4
1978-01-01,"CA",7.2
1979-01-01,"CA",6.2
1980-01-01,"CA",6.9
1981-01-01,"CA",7.4
1982-01-01,"CA",10.1
1983-01-01,"CA",9.8
1984-01-01,"CA",7.8
1985-01-01,"CA",7.2
1986-01-01,"CA",6.8
1987-01-01,"CA",5.8
1988-01-01,"CA",5.3
1989-01-01,"CA",5.1
1990-01-01,"CA",5.8
1991-01-01,"CA",7.8
1992-01-01,"CA",9.4
1993-01-01,"CA",9.6
1994-01-01,"CA",8.7
1995-01-01,"CA",7.9
1996-01-01,"CA",7.3
1997-01-01,"CA",6.4
1998-01-01,"CA",6
1999-01-01,"CA",5.3
2000-01-01,"CA",4.9
2001-01-01,"CA",5.5
2002-01-01,"CA",6.7
2003-01-01,"CA",6.9
2004-01-01,"CA",6.2
2005-01-01,"CA",5.4
2006-01-01,"CA",4.9
2007-01-01,"CA",5.3
2008-01-01,"CA",7.3
2009-01-01,"CA",11.5
2010-01-01,"CA",12.3
2011-01-01,"CA",11.7
2012-01-01,"CA",10.4
2013-01-01,"CA",9
2014-01-01,"CA",7.6
2015-01-01,"CA",6.2
2016-01-01,"CA",5.5
2017-01-01,"CA",4.8
2018-01-01,"CA",4.3
2019-01-01,"CA",4.1
2020-01-01,"CA",10.2
2021-01-01,"CA",7.4
2022-01-01,"CA",4.3
2023-01-01,"CA",4.7
2024-01-01,"CA",5.3
2025-01-01,"CA",NA
