SQGDP1 State quarterly gross domestic product (GDP) summary
SQGDP1 State quarterly gross domestic product (GDP) summary
State or DC
GeoFips,GeoName,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4
12000,Florida,688979.5,698206.7,714790.3,717584.9,735292.3,744023.4,751954.4,768430.0,770799.9,779375.6,789646.1,787967.6,776380.4,773693.0,767098.6,752259.1,744310.0,736250.8,733693.6,743035.1,740748.8,750742.4,758223.0,762279.5,752832.1,762287.2,761188.9,767864.2,776063.9,779786.8,790207.7,792125.4,808193.1,811801.4,823664.7,835059.8,837828.7,853102.4,868020.8,881498.6,896019.7,913439.6,926391.1,938006.9,942044.8,958225.5,973729.6,984003.5,997513.8,1006087.5,1017769.0,1038097.1,1056116.4,1064004.6,1080305.6,1087915.7,1109880.6,1123239.0,1142934.0,1158818.5,1152589.9,1066451.9,1166652.6,1182323.3,1220392.1,1276526.3,1320150.4,1377455.9,1400023.1,1442829.2,1489951.8,1528320.3,1565881.3,1582377.8,1612734.7,1642248.6,1670439.3,1695272.6,1717871.5,1738676.3
13000,Georgia,382628.2,386299.2,389410.4,396491.1,398047.1,402829.3,407951.7,413828.5,416967.5,418798.2,420280.9,421492.7,415072.6,418487.5,419883.6,411770.3,408755.6,409649.7,409672.6,411426.9,412093.9,416023.1,420800.3,427135.1,427536.1,430625.3,435475.6,438911.2,443262.6,448461.4,452273.1,453505.2,462355.5,464086.6,468400.0,475396.0,480233.2,490445.8,498909.9,503892.2,514483.1,524056.9,529759.8,533767.5,546262.3,551708.5,557105.6,564536.4,573669.4,577267.5,585212.6,598023.8,599723.1,609003.2,618513.4,623973.9,632296.4,642604.4,653443.6,658438.8,651033.5,600006.9,650615.0,659238.9,677491.7,694524.1,712592.2,737579.0,748952.1,774564.7,787537.3,807681.9,810901.6,826016.0,839690.8,850702.7,865084.2,877746.3,887924.2,899383.4
15000,Hawaii,55743.9,56679.9,57590.7,58832.9,59340.9,60438.1,61494.3,62118.9,62607.2,63324.8,64837.4,65654.5,65468.1,66067.7,65580.9,65065.3,64635.3,64549.5,64121.1,64551.5,65474.7,66244.3,67367.7,67870.4,68101.2,68390.0,68726.8,69986.4,70516.5,71616.5,72166.6,72283.0,73974.7,74002.3,74779.8,75637.4,75406.6,76596.2,77809.4,78359.9,80076.8,81124.8,81905.9,82533.4,83263.7,84051.3,84562.4,85271.5,86347.2,86910.3,87877.7,88610.2,89587.4,91120.8,91231.8,91794.0,92447.2,92585.0,93727.1,94201.5,92056.9,79432.3,82627.2,85426.8,87966.9,92409.7,96177.0,97047.8,99786.7,101585.4,104416.4,106823.8,108231.3,109718.2,110810.0,112302.2,113623.8,114936.3,116291.7,117656.9
16000,Idaho,47677.6,48528.7,49490.9,49523.4,50632.6,51294.4,50778.1,51691.1,52588.1,53154.2,53892.1,55215.1,55195.9,56570.4,56974.1,56073.8,55094.1,53896.3,54382.4,54658.7,55457.1,55525.4,56302.1,57060.3,56908.2,57341.5,57560.4,57862.6,57415.5,57717.2,58332.8,58269.4,60189.7,61276.4,62258.4,63126.0,63437.4,64308.0,64895.4,65366.1,65948.4,65802.6,66342.0,66166.5,67836.2,68958.1,69936.5,70009.8,71111.1,72404.9,73356.5,74868.0,77708.1,78753.4,79425.8,80402.2,82037.6,83402.3,85400.2,86877.3,87537.4,81253.5,90619.9,92986.5,95616.9,97948.5,100123.8,105667.4,107715.4,110891.9,113534.5,117018.6,118720.0,119370.6,121856.9,123885.7,124946.1,127373.4,129643.7,130565.0
17000,Illinois,581182.4,585222.2,593163.7,597046.3,614801.3,621192.7,625514.6,634763.6,640460.3,647068.7,651736.9,657963.6,648533.1,651757.1,654335.5,644083.4,641330.4,642030.6,645439.9,654572.0,649468.0,659863.7,670334.3,676050.1,680338.7,689764.6,694466.6,702652.0,722000.2,725889.1,728017.0,726005.6,735957.8,735827.0,743289.1,756489.6,752621.5,768905.4,781207.5,786432.6,792018.4,800797.3,809711.4,807840.8,806755.0,812144.2,812154.7,823192.4,821742.8,828155.0,836798.1,844611.3,859003.1,866772.2,875656.3,882665.3,883267.4,892600.5,905057.7,901481.8,881179.2,808786.1,871836.2,880889.6,910100.9,936496.5,955325.5,985182.2,1014859.2,1032729.3,1046994.5,1066830.0,1082641.1,1090664.6,1105718.9,1114359.8,1118330.9,1132143.3,1143080.7,1155419.6
18000,Indiana,243299.2,246300.2,249468.1,250645.6,254915.4,257761.9,260326.4,263117.5,265688.6,272467.2,276071.5,279135.8,279527.8,279882.6,278823.2,272864.6,263180.2,260952.4,263535.3,272032.1,277457.6,283443.1,287988.8,289853.7,289209.8,290801.2,292955.2,296529.1,298864.5,302203.3,303275.5,300766.2,312452.7,309750.5,314014.7,317649.6,321089.6,329134.1,334162.0,333057.9,330761.5,333631.1,333572.3,334690.1,335729.8,340766.7,345149.8,349220.2,351889.3,354641.4,358380.7,365231.7,373480.9,376129.7,379052.5,380844.5,378363.3,382924.7,387655.0,390411.9,385012.5,347718.3,387929.4,393873.9,405772.6,419730.1,429348.1,448604.4,457448.7,471605.0,478903.4,486014.5,490701.2,494167.4,503862.7,509281.0,518819.9,523832.3,530661.2,536211.0
19000,Iowa,121862.9,122612.3,123971.1,123018.2,125476.4,127315.0,127600.5,130291.3,134654.5,137794.2,138408.2,139504.0,139365.5,138717.1,137593.7,135320.7,134352.8,135377.8,137663.7,140983.0,139707.3,142121.9,143286.0,144875.5,146032.2,147247.4,149511.8,153312.9,156559.1,159742.4,159826.6,158084.2,161695.0,160467.3,162807.2,164690.4,166587.4,174302.1,176754.6,177292.7,178992.3,180477.7,182789.4,183627.2,182279.0,182818.3,185373.1,184868.9,187327.4,186545.0,185498.3,189129.3,193425.6,194454.7,193358.2,191381.9,193155.4,194474.0,197911.3,199509.2,198558.6,187991.7,202028.0,205860.1,215952.8,223914.2,225653.9,229962.6,236997.5,240989.5,245402.6,247621.9,249689.5,250011.7,256998.0,259428.7,253921.6,255962.1,257575.1,260624.5
20000,Kansas,104540.4,105047.9,106433.6,105353.9,111820.8,113394.1,114021.8,116090.5,121349.1,123222.5,124078.6,125785.4,128396.5,130526.7,130525.9,127443.7,125563.0,125129.4,125595.7,127910.7,125193.7,127785.0,130747.0,133217.0,133666.3,137066.8,137935.8,138319.5,144809.2,143027.6,139423.1,139988.5,143074.8,143929.4,145304.1,147689.1,144848.2,149168.1,152626.1,154462.0,151676.8,155484.5,157338.8,158295.8,158375.7,161873.3,163619.1,164709.8,165162.6,165328.8,166309.5,168293.2,170232.9,172589.7,174926.2,175743.3,172578.6,175952.4,177174.2,178569.9,180921.9,165847.6,179742.3,182326.7,182348.6,190976.3,194822.5,198805.2,207687.3,209512.9,214876.4,218369.9,223746.4,226054.3,231053.2,232075.7,229855.1,234118.8,236123.5,238595.5
21000,Kentucky,140953.0,143924.8,146470.0,148311.8,151049.9,153180.2,153795.4,154013.8,153746.8,156257.0,157397.5,160198.6,160123.9,162657.2,161467.8,158551.9,156323.6,155101.5,157067.8,161267.4,161731.0,166156.4,169180.2,169557.8,168423.5,170085.9,171477.6,174965.6,177193.0,178759.2,179251.7,178278.4,185311.0,183772.1,184976.0,185623.4,185081.1,188224.5,189774.8,190225.2,191341.5,194999.7,195814.9,196328.6,193801.4,197588.4,199821.4,200568.2,200963.8,202549.8,204045.8,206696.4,207486.9,210525.7,211045.9,212978.1,215996.0,219250.6,222144.0,225324.4,223685.3,201762.5,223651.1,225060.0,230922.3,235574.1,239593.8,247625.4,251321.1,260172.4,264533.7,270135.6,275025.1,276708.5,282830.6,284265.9,287272.9,291107.9,295140.4,298562.6
22000,Louisiana,192607.3,198094.4,200998.6,205556.3,206038.0,208335.2,208257.8,206368.0,201474.4,203472.4,203884.1,206254.4,208416.1,216183.0,218858.4,211756.6,206147.4,202638.1,205087.0,210573.5,219492.6,225366.7,230578.1,230785.1,228031.3,229994.6,229964.1,234084.7,237399.5,238823.6,234864.1,232756.3,232383.1,229613.8,231214.4,233399.7,233603.4,241081.0,245171.1,244004.6,236895.8,235842.4,234483.8,230075.0,225831.1,226849.3,227244.3,229836.3,235216.7,237534.7,241327.3,245244.3,252963.9,256286.2,257772.3,258755.3,258051.9,257556.6,257870.6,256516.9,246506.2,220775.9,237493.8,240089.4,250550.8,262861.1,271497.4,284145.0,286846.4,298530.7,302449.7,305871.1,310525.7,309915.1,317029.1,322484.5,323051.6,326653.4,328961.3,332462.1
