"date","abbrev","population","unemployment","bachelors","rgdp_2017","state","legal","legal.year","retailyear","onlineyear","online","retail","tribalonly","notes"
2006,"MS",2904.978,6.4,18.8,105879.9,"Mississippi",1,2017,2017,NA,0,1,0,""
2006,"MT",952.692,3.4,27.4,40055,"Montana",1,2019,2019,NA,0,1,0,""
2006,"NC",8917.27,4.7,24.8,470663.9,"North Carolina",1,2019,2019,2023,1,1,0,"retail is tribal"
2006,"ND",649.422,3.1,25.6,30911.4,"North Dakota",1,2018,2018,2018,0,1,1,""
2006,"NE",1772.693,3,26.9,97322.8,"Nebraska",1,2021,2021,NA,0,1,0,""
2006,"NH",1308.389,3.5,31.9,71424.5,"New Hampshire",1,2019,2019,2019,1,1,0,""
2006,"NJ",8661.679,4.7,33.4,555211,"New Jersey",1,2018,2018,2018,1,1,0,""
2006,"NM",1962.137,4.2,25.3,88554.5,"New Mexico",1,2018,2018,NA,0,1,1,""
2006,"NV",2522.658,4.2,20.8,156297.9,"Nevada",1,1949,1949,2010,1,1,0,""
2006,"NY",19104.631,4.5,31.2,1339568.5,"New York",1,2013,2019,2022,1,1,0,"https://www.deucescracked.com/ny-sports-betting-guide-getting-started-2025-update/"
2006,"OH",11481.213,5.4,23,582637.6,"Ohio",1,2021,2021,2021,1,1,0,""
2006,"OK",3594.09,3.9,22.1,149367.2,"Oklahoma",0,NA,NA,NA,0,0,0,""
2006,"OR",3670.883,5.4,27.5,177222.4,"Oregon",1,2019,2019,2019,1,1,0,""
2006,"PA",12510.809,4.7,25.4,626589.9,"Pennsylvania",1,2017,2017,2017,1,1,0,""
2006,"RI",1063.096,5.3,29.6,57415.8,"Rhode Island",1,2018,2018,2019,1,1,0,""
2006,"SC",4357.847,6.4,22.7,187386.1,"South Carolina",0,NA,NA,NA,0,0,0,""
2006,"SD",783.033,3,24.8,39961.7,"South Dakota",1,2021,2021,NA,0,1,0,""
2006,"TN",6088.766,5.2,21.7,295668.2,"Tennessee",1,2019,NA,2019,1,0,0,""
2006,"TX",23359.58,5,24.7,1225147.3,"Texas",0,NA,NA,NA,0,0,0,""
2006,"UT",2525.507,2.9,28.6,127539.4,"Utah",0,NA,NA,NA,0,0,0,""
2006,"VA",7673.725,3.1,32.7,451263.1,"Virginia",1,2020,2020,2020,1,1,0,""
2006,"VT",622.892,3.7,32.4,29420.9,"Vermont",1,2023,NA,2023,1,0,0,""
2006,"WA",6370.753,5,30.5,372145.1,"Washington",1,2020,2020,NA,0,1,1,"tribal-only"
2006,"WI",5577.655,4.7,25.1,287146.6,"Wisconsin",1,2021,2021,NA,0,1,1,"tribal-only"
2006,"WV",1827.912,4.8,16.5,68900,"West Virginia",1,2018,2018,2018,1,1,0,""
2006,"WY",522.667,3.1,22.7,36655.7,"Wyoming",1,2021,2021,2021,1,1,0,""
2007,"AK",680.3,6.3,26,50126.8,"Alaska",0,NA,NA,NA,0,0,0,""
2007,"AL",4672.84,4.1,21.4,202025.5,"Alabama",0,NA,NA,NA,0,0,0,""
2007,"AR",2848.65,5.4,19.3,114026.7,"Arkansas",1,2018,2019,2022,1,1,0,""
2007,"AZ",6167.681,3.7,25.3,306611.6,"Arizona",1,2021,2021,2021,1,1,0,""
2007,"CA",36250.311,5.3,29.5,2168940.4,"California",0,NA,NA,NA,0,0,0,""
2007,"CO",4803.868,3.7,35,278733.8,"Colorado",1,2019,2020,2020,1,1,0,""
2007,"CT",3527.27,4.5,34.7,278485.4,"Connecticut",1,2021,2021,2021,1,1,0,""
2007,"DE",871.749,3.4,26.1,68132.4,"Delaware",1,2018,2018,2018,1,1,0,""
2007,"FL",18367.842,4,25.8,922288.3,"Florida",1,2021,2023,2023,1,1,0,"lawsuit in 2021 that shut down operations"
2007,"GA",9349.988,4.6,27.1,492238.7,"Georgia",0,NA,NA,NA,0,0,0,""
2007,"HI",1315.675,2.7,29.2,76434.1,"Hawaii",0,NA,NA,NA,0,0,0,""
2007,"IA",2999.212,3.7,24.3,162838.1,"Iowa",1,2019,2019,2019,1,1,0,""
2007,"ID",1505.105,3,24.5,61812.1,"Idaho",0,NA,NA,NA,0,0,0,""
2007,"IL",12695.866,5.1,29.5,769571.6,"Illinois",1,2019,2020,2020,1,1,0,""
2007,"IN",6379.599,4.6,22.1,322661.7,"Indiana",1,2019,2019,2019,1,1,0,""
2007,"KS",2783.785,4.3,28.8,143586.6,"Kansas",1,2022,2022,2022,1,1,0,""
2007,"KY",4256.672,5.4,20,185790.1,"Kentucky",1,2023,2023,2023,1,1,0,""
2007,"LA",4375.581,4.1,20.4,234216.4,"Louisiana",1,2021,2021,2022,1,1,0,""
2007,"MA",6431.559,4.5,37.9,440373.9,"Massachusetts",1,2022,2023,2023,1,1,0,""
2007,"MD",5653.408,3.4,35.2,331763.5,"Maryland",1,2021,2021,2021,1,1,0,""
2007,"ME",1327.04,4.7,26.7,60032.7,"Maine",1,2022,2023,2023,1,1,0,""
2007,"MI",10001.284,7.1,24.7,482935.1,"Michigan",1,2019,2020,2021,1,1,0,""
2007,"MN",5207.203,4.6,31,304208,"Minnesota",0,NA,NA,NA,0,0,0,""
2007,"MO",5887.612,5.1,24.5,288320.9,"Missouri",0,NA,NA,NA,0,0,0,""
2007,"MS",2928.35,6.1,18.9,107713.9,"Mississippi",1,2017,2017,NA,0,1,0,""
2007,"MT",964.706,3.4,27,42057.7,"Montana",1,2019,2019,NA,0,1,0,""
2007,"NC",9118.037,4.7,25.6,477920.8,"North Carolina",1,2019,2019,2023,1,1,0,"retail is tribal"
2007,"ND",652.822,3,25.7,32529,"North Dakota",1,2018,2018,2018,0,1,1,""
2007,"NE",1783.44,3,27.5,99780.8,"Nebraska",1,2021,2021,NA,0,1,0,""
2007,"NH",1312.54,3.5,32.5,71943.5,"New Hampshire",1,2019,2019,2019,1,1,0,""
2007,"NJ",8677.885,4.2,33.9,560823.8,"New Jersey",1,2018,2018,2018,1,1,0,""
2007,"NM",1990.07,3.5,24.8,89392.4,"New Mexico",1,2018,2018,NA,0,1,1,""
2007,"NV",2601.072,4.8,21.8,157734.3,"Nevada",1,1949,1949,2010,1,1,0,""
2007,"NY",19132.335,4.4,31.7,1353798.9,"New York",1,2013,2019,2022,1,1,0,"https://www.deucescracked.com/ny-sports-betting-guide-getting-started-2025-update/"
2007,"OH",11500.468,5.6,24.1,585403,"Ohio",1,2021,2021,2021,1,1,0,""
2007,"OK",3634.349,4,22.8,152879.6,"Oklahoma",0,NA,NA,NA,0,0,0,""
2007,"OR",3722.417,5.2,28.3,180724.3,"Oregon",1,2019,2019,2019,1,1,0,""
2007,"PA",12563.937,4.6,25.8,649638,"Pennsylvania",1,2017,2017,2017,1,1,0,""
2007,"RI",1057.315,5.1,29.8,56230.6,"Rhode Island",1,2018,2018,2019,1,1,0,""
2007,"SC",4444.11,5.6,23.5,193386.6,"South Carolina",0,NA,NA,NA,0,0,0,""
2007,"SD",791.623,2.9,25,41646.2,"South Dakota",1,2021,2021,NA,0,1,0,""
2007,"TN",6175.727,4.7,21.8,294819.8,"Tennessee",1,2019,NA,2019,1,0,0,""
2007,"TX",23831.983,4.3,25.2,1288828.7,"Texas",0,NA,NA,NA,0,0,0,""
2007,"UT",2597.746,2.6,28.7,133799.8,"Utah",0,NA,NA,NA,0,0,0,""
2007,"VA",7751,3.1,33.6,457568.9,"Virginia",1,2020,2020,2020,1,1,0,""
2007,"VT",623.481,3.9,33.6,29296.6,"Vermont",1,2023,NA,2023,1,0,0,""
2007,"WA",6461.587,4.6,30.3,394221.9,"Washington",1,2020,2020,NA,0,1,1,"tribal-only"
2007,"WI",5610.775,4.8,25.4,289855.2,"Wisconsin",1,2021,2021,NA,0,1,1,"tribal-only"
2007,"WV",1834.052,4.5,17.3,69374.1,"West Virginia",1,2018,2018,2018,1,1,0,""
2007,"WY",534.876,2.7,23.4,39504.9,"Wyoming",1,2021,2021,2021,1,1,0,""
2008,"AK",687.455,6.5,27.3,49926.6,"Alaska",0,NA,NA,NA,0,0,0,""
2008,"AL",4718.206,5.9,22,200967.5,"Alabama",0,NA,NA,NA,0,0,0,""
2008,"AR",2874.554,5.4,18.8,113628,"Arkansas",1,2018,2019,2022,1,1,0,""
2008,"AZ",6280.362,5.8,25.1,302277.9,"Arizona",1,2021,2021,2021,1,1,0,""
2008,"CA",36604.337,7.3,29.6,2192331.8,"California",0,NA,NA,NA,0,0,0,""
2008,"CO",4889.73,4.8,35.6,281803.3,"Colorado",1,2019,2020,2020,1,1,0,""
2008,"CT",3545.579,5.6,35.6,277793.2,"Connecticut",1,2021,2021,2021,1,1,0,""
2008,"DE",883.874,4.9,27.5,65771.3,"Delaware",1,2018,2018,2018,1,1,0,""
2008,"FL",18527.305,6.3,25.8,891766.8,"Florida",1,2021,2023,2023,1,1,0,"lawsuit in 2021 that shut down operations"
2008,"GA",9504.843,6.4,27.5,481860.3,"Georgia",0,NA,NA,NA,0,0,0,""
2008,"HI",1332.213,4.1,29.1,76830.2,"Hawaii",0,NA,NA,NA,0,0,0,""
2008,"IA",3016.734,4.2,24.3,160469.1,"Iowa",1,2019,2019,2019,1,1,0,""
2008,"ID",1534.32,5,24,63878.2,"Idaho",0,NA,NA,NA,0,0,0,""
2008,"IL",12747.038,6.5,29.9,759095.3,"Illinois",1,2019,2020,2020,1,1,0,""
